user_id,eigen_central,eigen_central_bin,avg_perplexity,n_utts,admin_status,n_content_words,n_tokens,n_types,n_function_words,divergence_articles,divergence_impersonal pronouns,divergence_quantifiers,divergence_auxiliary verbs,divergence_conjunctions,divergence_prepositions,divergence_personal pronouns,divergence_adverbs
LightningMan,2.5283243208443936e-05,False,541.95303217578692,2,False,29,41,35,15,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Bgpaulus,2.530436803977044e-05,False,994.90372397116016,3,False,187,279,160,103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Sundar,0.003324060700574619,False,2030.9599129182111,11,True,551,738,239,219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Metarhyme,0.0018994371309340873,False,43682.430653441734,9,False,206,326,189,144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Semperf,0.00026110893227417964,False,6669.2932633093787,1,False,45,62,43,19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Dave101,0.0029769254856626564,False,1434.0757360767684,10,False,348,494,196,172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AbdulHornochsmannn,0.0002419143122066676,False,1485.6801841612921,2,False,24,35,31,13,,-0.0,,-0.0,,-0.0,-0.0,-0.0
PetraSchelm,0.000207291357765418,False,2209.2816649091296,2,False,54,81,52,37,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
86.139.215.4,0,False,533.3949184096557,2,False,156,244,79,100,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kazkaskazkasako,5.0906136389158394e-05,False,59.301598686484603,2,False,0,0,0,0,,,,,,,,
4frans4,0.0003171064688541742,False,976.82537549831045,4,False,100,143,80,54,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Pegasusproject,0.00010580884703871658,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Alec2011,0.0001515445201029571,False,2071.2451518280045,3,False,96,147,96,62,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Atlantabravz,0.0018559580596348483,False,17636.506807702222,6,False,331,433,201,118,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Michiyoo,2.2780426044062048e-05,False,199.69645373107917,1,False,8,15,14,8,-0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
MachSeventy,0.002295453011555773,False,402.45259819424018,1,False,39,59,49,23,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Samuel.Brc,0.0002215330840131346,False,687.72740538500079,1,False,13,22,18,11,-0.0,-0.0,,-0.0,,-0.0,,-0.0
Smart 7th Grader,0.0004211095141659409,False,13.031002755165527,1,False,1,1,1,0,,,,,,,,
Scheibenzahl,0.0009874317619524334,False,5124.830023408229,2,False,57,83,53,28,-0.0,,-0.0,-0.0,-0.0,-0.0,,-0.0
Stolsvik,7.926485834052738e-05,False,289.36502566662432,1,False,178,283,166,117,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AlexWaelde,0.004579645438331574,False,222.52289842594061,8,False,149,293,160,165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MR KennedyDX,3.375994185985486e-05,False,680.01344065869648,1,False,11,16,15,5,,-0.0,,,-0.0,-0.0,-0.0,
T. Canens,0.001959332752706901,False,1058.801013002658,6,False,250,355,144,114,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
beżet,0,False,317.30774374750774,2,False,54,95,59,53,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Carrite,0.006171566588770195,False,2499.3302026464526,58,False,2812,4525,1224,1988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DonnySutherton,0.0011988115184211664,False,178.02257415911842,1,False,7,13,12,7,,-0.0,,-0.0,-0.0,-0.0,,-0.0
Albrecht,0.002524909821180493,False,1935.2673189512486,12,False,480,767,353,346,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Aeroslacker,0.00016192739272694325,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
MAN MUSIC,0.0008545616061546207,False,13.031002755165527,1,False,1,1,1,0,,,,,,,,
Shahab,0.0007600310558992786,False,222.48354342486763,4,False,123,220,131,109,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Mr-Natural-Health,3.5528298985461744e-05,False,336.55663462394051,1,False,21,33,28,16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
86.172.225.184,0,False,1048.9503504025893,2,False,54,67,47,13,-0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Brasilian Prince,0.0010408129404874333,False,705.98018208147585,3,False,140,192,96,57,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0
Fleetflame,0.0006504774846636369,False,5876.768229495854,2,False,52,73,49,24,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Strausszek,0.0005014669024645797,False,618.95969976167089,5,False,318,517,294,220,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
142.161.184.39,0,False,103.67764274878658,1,False,18,30,25,12,-0.0,-0.0,,-0.0,-0.0,-0.0,,
Stanley011,3.12730626734125e-05,False,233.35106974091033,1,False,34,56,45,27,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Skeeker,0,False,1352.8885040392986,5,False,210,315,168,122,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MarSch,0.002028360282872523,False,3752.3942209090501,7,False,205,290,156,99,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Amphitere,0.00014160293633898836,False,3826.3934389754768,11,False,358,359,241,1,,,,,,-0.0,,
Banana99,0.000280465620055254,False,60.228160296964433,1,False,2,6,6,4,,-0.0,,-0.0,,-0.0,,-0.0
Douglasmtaylor,0.006641871364774887,False,2527.3164874421486,7,False,298,478,224,212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kriksu,0.0009393194905708606,False,751.58706195502759,1,False,51,79,60,35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Myles325a,0.0008973817242222527,False,210.40601972706514,4,False,211,381,206,190,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Steve Pastor,0.003512700160600861,False,1456.162425541035,25,False,1199,1896,683,822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Centish,0.0013248375854323002,False,853.18573741203409,3,False,110,171,111,73,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Dripping_Flame,0,False,340.23299524649462,2,False,128,192,114,83,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Miwasatoshi,0.00034539340350628534,False,1998.8536726345512,10,False,232,348,213,149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Res2216firestar,0.0012899888358003245,False,2385.7239031576064,3,False,44,64,49,22,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
