user,year,coord_given,coord_received,e_central,e_central_chg
Wareh,2007,0.25,-0.0357142857142857,3.101808807039479e-07,-3.0595387189194123e-07
Wareh,2008,,,4.227008812006671e-09,2.8810180502464875e-06
Wareh,2009,,,2.885245059058494e-06,7.487652382021621e-05
Wareh,2010,-0.16666666666666663,0.16666666666666669,7.77617688792747e-05,0.0010184889793331245
Claudevsq,2008,-0.1746031746031746,0.1527777777777778,2.2451249275308233e-07,2.464774207216466e-06
Claudevsq,2009,0.27899659863945575,0.3020833333333333,2.689286699969548e-06,-1.7307161527799297e-06
Claudevsq,2010,,,9.585705471896185e-07,7.70586561352671e-07
Claudevsq,2007,,,5.315489298067851e-07,-3.0703643705370276e-07
Barek,2008,,,4.0635384759852415e-08,1.3098388774152524e-06
Barek,2009,,,1.3504742621751048e-06,4.221110585962479e-06
Barek,2010,,,5.571584848137584e-06,8.411169743405755e-05
GorillaWarfare,2010,0.01081349206349208,-0.18363997113997116,0.00022004762821791355,0.0442941169406114
GorillaWarfare,2007,,,5.229601590930326e-07,1.8204208069056e-05
Acroterion,2008,0.16666666666666669,0.2760416666666667,2.9446515191251746e-05,2.0329098834515514e-05
Acroterion,2009,,-0.5,4.977561402576726e-05,2.6971224587018128e-05
Acroterion,2010,-0.013388694638694632,0.00017630693581782708,7.674683861278539e-05,0.0016310125760011466
Acroterion,2007,,0.5,2.918554913165158e-05,2.6096605960016555e-07
Benjiboi,2008,-0.5,,0.0003700535957351057,-0.0002737093870124267
Benjiboi,2009,-0.3116666666666667,0.15317460317460316,9.634420872267902e-05,-9.575532038201636e-05
Benjiboi,2007,0.5,0.5,1.7857256801516445e-05,0.00035219633893358924
Crculver,2006,,,1.1965176099454309e-08,1.6619536695501634e-05
ConradPino,2007,-0.5,0.5,8.683597900747949e-08,3.2793606018381637e-06
Jc3s5h,2009,,,5.093054836422801e-07,6.456677937902875e-06
Jc3s5h,2010,0.5,-0.3333333333333333,6.965983421545154e-06,0.00041985383825412836
Chappy84,2006,,,1.6961176288469537e-07,9.848162870502195e-07
GilbertoSilvaFan,2006,,,8.30802024076173e-08,9.924597905905895e-08
GilbertoSilvaFan,2007,-0.5,-0.5,1.8232618146667625e-07,-1.8225336307483568e-07
Iamunknown,2006,0.5,,5.415267390495563e-07,0.015178355594835503
Iamunknown,2007,0.05277777777777778,-0.11388888888888891,0.015178897121574553,-0.015177314245639607
DagosNavy,2010,-0.0035714285714285587,,1.2721635941049545e-05,1.9766423798950597e-05
Geregen2,2008,,,1.6464758222061582e-13,2.4756721970635018e-05
Geregen2,2009,,,2.47567221352826e-05,-2.431127822567797e-05
Geo Swan,2006,0.22222222222222224,-0.3333333333333333,8.559905030367365e-07,4.507794546061701e-06
Geo Swan,2007,-0.4444444444444444,-0.4444444444444444,5.363785049098438e-06,0.00015276290432517187
Geo Swan,2008,0.16592261904761907,-0.20907738095238093,0.0001581266893742703,0.00018252895935183766
Geo Swan,2009,-0.0962226430976431,-0.016209608843537435,0.00034065564872610797,-0.0003335956688243417
Geo Swan,2010,,-0.2708333333333333,7.059979901766278e-06,0.0003598508841301167
Cookatoo.ergo.ZooM,2008,-0.5,-0.5,2.6505865176498714e-09,1.4017479924435987e-06
Oscarthecat,2009,,,4.840183224976806e-09,6.440173342641772e-09
Oscarthecat,2010,,,1.1280356567618578e-08,3.26384850636536e-05
